"get_passwd_subject","取回密码说明"
"thx_for_your_reg","感谢您注册%s"
"after_update_please","更新密码后,请您及时到"
"office_room_update_passwd","商务室更新您的密码,以防丢失."
"dear_user","尊敬的客户"
"a_test_email","这是一封来自%s的测试邮件。"
"a_test_email_delete","这是一封来自<a href='%s' target='_blank'>%s</a>的测试邮件，你可以删除它。"
"pls_active_your_account","请激活您的帐号"
"pls_click_the_link_to_active","请点击下方的链接地址，进行帐号激活。"
"click_here","点击此处"
"active_and_expired","激活您的帐号，有效期至："
"the_website_email_sended","该邮件是<a href='%s'>%s</a>发送给您的。"
"thank_for_your_register","，您好，感谢您注册%s"
"you_have_been_the_member","，您已经注册成为%s的会员，如果您有什么疑问可以联系客服Email：<a href='mailto:%s'>%s</a>。"
"pls_read_the_service_statement","请您仔细阅读客户服务条款。"
"start_to_active_and_expired","开始重置，有效期至："
"pls_reset_passwd","请重置密码"
"pls_click_the_link_to_reset","请点击下方的链接地址，进行密码重置。"
