"colon","："
"fenhao","；"
"left_bracket","（"
"right_bracket","）"
"lang_pack","语言包"
"offer","供求信息"
"buyer","采购商"
"standards","标准法规"
"seller","供应商"
"brands","品牌"
"brand_name","品牌名称："
"alias_name","别名："
"inquery_message","询价消息"
"system_message","系统消息"
"private_message","私人消息"
"prices","报价"
"product_prices","产品报价"
"quotes","行情"
"price_quotes","价格行情"
"investment","招商加盟"
"home_page","首页"
"yellow_page","公司库"
"fair","展会"
"market","市场库"
"pro_market","专业市场"
"info","行业资讯"
"dictionary","行业词典"
"site_announce","网站公告"
"announce","公告"
"forum","论坛"
"product_center","产品中心"
"product","产品"
"product_name","产品名称"
"help_center","帮助中心"
"all_of","全部"
"all_categories","全部分类"
"help","帮助"
"keywords_sample","关键字1 关键字2"
"input_keywords","请输入关键字"
"site_map","网站地图"
"keyword_ship","关键词竞价"
"adwords","简短语："
"your_current_position","您当前位置："
"unknown","未知"
"searching","查询"
"add","添加"
"save","保存"
"address","地址："
"keyword_adwords","关键字广告"
"zip","邮编："
"phone","电话："
"fax","传真："
"website_url","网址："
"undefined_operation","未定义操作"
"have_picture","有图片"
"product_status","等待审核,有效信息,审核不通过,无效"
"passed","验证通过"
"type_levels","%s级分类"
"area_levels","%s级地区"
"categories","分类："
"commend","推荐"
"control_pannel","控制台"
"login_out","退出"
"go_top","返回顶部"
"more","更多"
"friend_links","友情链接"
"apply_friendlink","申请友情链接"
"friendlink","友情链接"
"topic_news","专题新闻"
"go_back","返回上页"
"close_window","关闭页面"
"action_tip","操作提示"
"industry_sort","行业分类"
"urgent","紧急"
"urgent_buy","紧急采购"
"hr","人才招聘"
"prev_page","上一页"
"next_page","下一页"
"first_page","首页"
"last_page","尾页"
"the_page","第%d页"
"hello","您好，%s"
"anonymous","匿名"
"search_for","搜索含有%s的结果"
"search","搜索"
"submit","提交"
"reset","重置"
"undefined_sort","未分类"
"your_domain","你的网站地址"
"arrive_to","至"
"space_name","商铺"
"email_addr","电子邮件"
"company_name","公司名称"
"company","公司/企业"
"tags","标签"
"has_expired","已过期"
"journal","（第%s期）"
"member_level","会员等级"
"password","密码："
"password_n","密码"
"time_unit","秒,分,小时,天,周,月,年"
"month_unit","1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月"
"week_unit","日,一,二,三,四,五,六"
"money_unit","元"
"content","内容："
"content_n","内容"
"digest","简介"
"digest_n","简介："
"secure_auth","安全验证"
"auth_key_n","验证码："
"basic_info","基本信息"
"seconds","秒"
"minutes","分钟"
"month","月"
"weeks","周"
"days","天"
"hours","小时"
"time_before","%s%s前"
"bump_to_top","置顶"
"user_name_n","用户名"
"user_name","用户名："
"category","类型"
"category_n","类型："
"sorts","种类"
"sorts_n","种类："
"the_area","地区"
"the_industry","行业"
"the_price","价格"
"the_price_n","价格："
"contact_people","联系人："
"the_all","所有"
"issue_time","颁布时间"
"force_time","实施时间"
"date_start","开始日期："
"date_end","截止日期："
"source","来源："
"source_n","来源"
"soft_name","PHPB2B"
"register_now","立即注册"
"clicks","点击数"
"click_and_search","点击搜索"
"times","时间"
"country","国家"
"please_select","请选择"
"delete_sure","确定删除吗？"
"peoples","人"
"picture","图片"
"product_sort","产品分类"
"contact_method","联系方式"
"error_type","错误类型"
"check_your_network","如果仍然无法打开，建议您检查网址是否正确，网络链接设置是否正常。"
"search_now","立即搜索"
"attemp_to_search_info","尝试搜索相关信息"
"sorry_for_the_page_absent","已经将此出错信息详细记录, 由此给您带来的访问不便我们深感歉意。"
"refresh_page","刷新"
"webpage_version","网页版"
"webpc_version","电脑版"
"web3g_version","3G"
"webmobile_version","触屏版"
"wap_version","WAP版"
"pub_date","发布时间"
"trade_number","订单编号"
"information","资讯"
"submit_time","提交时间"
"publish","立即发布"
"lists","列表"
"advertising","广告"
"keyword_advertising","关键字广告"
"words","词语"
"allows_maximum_input","最多允许输入"
"can_also_enter","还可以输入"
"trust_type","认证类型"
"trust_star","诚信指数"
"website","网站"
"register","注册"
"no","无"
"not","不"
"immediately","立即"
"logo","徽标"
"serial_number","编号"
"visit","访问"
"modify","修改"
"whether_or","是否"
"status","状态"
"member_group","会员组"
"attachment","附件"
"cancel","取消"
"integral","积分"
"service","服务"
"sure","确定"
"comments","评论"
"forbid","禁止"
"space","空间"
"security","安全"
"login","登录"
"adzone","广告位"
"advertisement","广告"
"width","宽度"
"height","高度"
"favorites","收藏夹"
"upload","上传"
"effective_period","有效期"
"effective_now","即时生效"
"permanent_effective","永久有效"
"beginning","开始"
"ending","结束"
"page","页面"
"open","开放"
"welcome","欢迎"
"correct","是"
"deny","否"
"visitors","游客"
"verify","审核"
"method","方式"
"others","其他"
"fax_number","传真号码："
"mobile_number","手机号码："
"data_import","导入"
"data_export","导出"
"seo_title","SEO标题"
"seo_keyword","SEO关键字"
"seo_description","SEO内容"
"specifications","规格参数"
"large","大"
"middle","中"
"small","小"
"font_size","字体"
"nothing","没有了"
"prev_record","上一条"
"next_record","下一条"
"error_occurred","出错啦"
